index	name	color
1	M1La	#804EA0
2	M2La	#9D29E0
3	M3La	#65B6F9
4	M3Lb	#5EB3FD
5	M4La	#62FF76
6	M4Lb	#5CFF80
7	A1La	#8A89FF
8	A2La	#534EE1
9	A2Lb	#4D4EE6
10	A3La	#5FFFFF
12	D1La	#AE3E49
13	D2La	#FF6BB3
14	D2Lb	#FF66B8
15	D2Lc	#FF61BD
16	D2Ld	#FF5CC2
17	D3La	#F053FF
18	D3Lb	#F253F2
19	D4La	#D11E82
20	D4Lb	#D21E85
21	D4Lc	#CA147A
22	S1La	#FBC221
23	S1Lb	#FDC214
24	S1Lc	#FDCC00
25	S1Ld	#F8CC14
26	S2La	#DBFF48
27	S2Lb	#D4FF4D
28	S2Lc	#CFFF52
30	S3La	#D8FFC8
31	S4La	#FFFFD4
32	S4Lb	#FFFFCC
33	S4Lc	#FFFFD9
34	S5La	#51BC5D
35	M1Ra	#804EA0
36	M2Ra	#9D29E0
37	M3Ra	#65B6F9
38	M3Rb	#5EB3FD
39	M4Ra	#62FF76
40	M4Rb	#5CFF80
41	A1Ra	#8A89FF
42	A2Ra	#534EE1
43	A2Rb	#4D4EE6
44	A3Ra	#5FFFFF
46	D1Ra	#AE3E49
47	D2Ra	#FF6BB3
48	D2Rb	#FF66B8
49	D2Rc	#FF61BD
50	D2Rd	#FF5CC2
51	D3Ra	#F053FF
52	D3Rb	#F253F2
53	D4Ra	#D11E82
54	D4Rb	#D21E85
55	D4Rc	#CA147A
56	S1Ra	#FBC221
57	S1Rb	#FDC214
58	S1Rc	#FDCC00
59	S1Rd	#F8CC14
60	S2Ra	#DBFF48
61	S2Rb	#D4FF4D
62	S2Rc	#CFFF52
64	S3Ra	#D8FFC8
65	S4Ra	#FFFFD4
66	S4Rb	#FFFFCC
67	S4Rc	#FFFFD9
68	S5Ra	#51BC5D
